"Niveau 1";"Niveau 2";"Niveau 3";"Niveau 4";"Niveau 5";"Niveau 6";"Niveau 7";"Niveau 8";"Niveau 9";"Priorité";"Progression";"Date de début";"Échéance";"Durée (jours)";Effort (jours);"Jalon";"Ressources";
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.1. Mariages et régimes matrimoniaux";"23 Mariage et régimes matrimoniaux";"23C";"23C Demande en nullité d'un acte passé par un époux sans le consentement de l'autre";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.1. Mariages et régimes matrimoniaux";"23 Mariage et régimes matrimoniaux";"23D";"23D Demande d'autorisation à passer seul un acte";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.1. Mariages et régimes matrimoniaux";"23 Mariage et régimes matrimoniaux";"23E";"23E Demande d'habilitation à représenter l'autre conjoint, ou à lui être substitué dans la gestion des biens propres ou communs";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.1. Mariages et régimes matrimoniaux";"23 Mariage et régimes matrimoniaux";"23F";"23F Demande de mesures urgentes lorsque l'un des époux manque gravement à ses devoirs et met en péril les intérêts de la famille";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.1. Mariages et régimes matrimoniaux";"23 Mariage et régimes matrimoniaux";"23G";"23G Demande d'homologation du changement de régime matrimonial";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.1. Mariages et régimes matrimoniaux";"23 Mariage et régimes matrimoniaux";"23H";"23H Demande en séparation de biens judiciaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.1. Mariages et régimes matrimoniaux";"23 Mariage et régimes matrimoniaux";"23Z";"23Z Autres demandes relatives au mariage et au régime matrimonial";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.2. Divorce - contentieux";"20 Divorce";"20F";"20F Demande en conversion de la séparation de corps en divorce";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.2. Divorce - contentieux";"20 Divorce";"20G";"20G Demande de modification des mesures provisoires - divorce -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.2. Divorce - contentieux";"20 Divorce";"20J";"20J Demande en divorce autre que par consentement mutuel";;;;;;;;;;;
